Log created	2023/03/05 00:02:48.218
00:02:48.218	Copied appdata Files.
00:02:49.289	Copied Run Sequence Files.
00:02:49.456	Copied camera Files.
00:03:00.914	Error copying TT Files: Could not complete operation on some files and directories. See the Data property of the exception for more details.s
00:03:00.926	Reset timer to Copy TT Files.
00:55:44.046	Begin data deletion.
00:55:44.050	Deleted Image Files, DATABASE files, and POCB files.
00:55:44.052	Reset timer to delete Image Files.
01:55:44.107	Begin data deletion.
01:55:44.114	Deleted Image Files, DATABASE files, and POCB files.
01:55:44.117	Reset timer to delete Image Files.
02:55:44.164	Begin data deletion.
02:55:44.168	Deleted Image Files, DATABASE files, and POCB files.
02:55:44.170	Reset timer to delete Image Files.
03:55:44.272	Begin data deletion.
03:55:44.276	Deleted Image Files, DATABASE files, and POCB files.
03:55:44.278	Reset timer to delete Image Files.
04:55:44.375	Begin data deletion.
04:55:44.379	Deleted Image Files, DATABASE files, and POCB files.
04:55:44.381	Reset timer to delete Image Files.
05:55:44.473	Begin data deletion.
05:55:44.477	Deleted Image Files, DATABASE files, and POCB files.
05:55:44.479	Reset timer to delete Image Files.
06:55:44.579	Begin data deletion.
06:55:44.583	Deleted Image Files, DATABASE files, and POCB files.
06:55:44.586	Reset timer to delete Image Files.
07:55:44.670	Begin data deletion.
07:55:44.674	Deleted Image Files, DATABASE files, and POCB files.
07:55:44.676	Reset timer to delete Image Files.
08:55:44.747	Begin data deletion.
08:55:44.751	Deleted Image Files, DATABASE files, and POCB files.
08:55:44.756	Reset timer to delete Image Files.
09:55:44.829	Begin data deletion.
09:55:44.835	Deleted Image Files, DATABASE files, and POCB files.
09:55:44.838	Reset timer to delete Image Files.
10:55:44.887	Begin data deletion.
10:55:44.891	Deleted Image Files, DATABASE files, and POCB files.
10:55:44.893	Reset timer to delete Image Files.
11:55:44.929	Begin data deletion.
11:55:44.933	Deleted Image Files, DATABASE files, and POCB files.
11:55:44.936	Reset timer to delete Image Files.
12:55:44.977	Begin data deletion.
12:55:44.981	Deleted Image Files, DATABASE files, and POCB files.
12:55:44.983	Reset timer to delete Image Files.
13:30:35.869	Message Size: 17; Checksum: 17; Payload length: 1, Payload: SEQCHECK
13:30:35.875	Received SEQCHECK command
13:30:35.878	Sequence Calibration None Check Started
13:30:35.878	Sequence Calibration Compare Started
13:30:35.878	Sequence Parameter Check Started
13:30:35.881	Sequence Calibration None Check Finished, OK
13:30:35.991	Sequence Calibration Compare Finished, OK
13:30:39.095	Sequence Parameter Check Finished, OK
13:30:39.200	Sent : SEQCHECKDONE OK
13:30:43.320	Message Size: 13; Checksum: 13; Payload length: 1, Payload: PING
13:30:43.323	Received PING from Doone.
13:30:43.430	Sent : ACK
13:30:43.434	Sent PING response: ACK
13:30:44.644	Message Size: 71; Checksum: 71; Payload length: 5, Payload: FTPUPLOAD LH612WF2 HNAMAL44JW04 A4YS2B002906AE7 20230305134008
13:30:44.648	Received FTPUPLOAD command: FTPUPLOAD
13:30:44.752	Sent : ACK
13:30:44.755	Sent FTPUPLOAD response: ACK
13:30:44.776	Message Size: 57624; Checksum: 249; Payload length: 2, Payload: POCBGAMMA 57600
13:30:44.780	Received Gamma data command.
13:30:44.784	Wrote Hex File to: C:\POCB\INPUT\d850_gamma.hex
13:30:44.891	Sent : ACK
13:30:44.895	Sent Gamma data response: ACK
13:30:45.158	Message Size: 358; Checksum: 103; Payload length: 3, Payload: START A4YS2B002906AE7 0323
13:30:45.161	Received Start Demura Inspection command.
13:30:45.164	Attempt to obtain OTP Data from start command.
13:30:45.167	Current OTP Data Template file: C:\POCB\OTP\pocb_otp_read(D953-CB-A_V6p1).txt
13:30:45.174	Wrote OTP File: C:\POCB\OTP\pocb_otp_read.txt
13:30:45.177	Camera Temperature: 25
13:30:45.179	Received Serial Number: A4YS2B002906AE7
13:30:45.282	Sent : ACK
13:30:45.286	Sent START Demura Inspection response: ACK
13:30:45.318	Enter PrepareForSequenceRunAll
13:30:45.325	PrepareForSequenceRunAll, Completed clearing variables 1
13:30:45.329	PrepareForSequenceRunAll, Completed clearing variables 2
13:30:45.332	PrepareForSequenceRunAll, Completed clearing variables 3
13:30:45.335	PrepareForSequenceRunAll, Completed clearing DemuraTimeout Task
13:30:45.338	PrepareForSequenceRunAll, Completed initialize hotcoldpixels 1
13:30:45.340	PrepareForSequenceRunAll, Completed initialize hotcoldpixels 2
13:30:45.344	PrepareForSequenceRunAll, Completed deleting C:\POCB\Hex folder
13:30:45.347	PrepareForSequenceRunAll, Completed setting starttime
13:30:45.350	Sequence Started
13:30:45.353	Final Mode: None
13:30:45.355	Demura Step(s): 24
13:30:45.358	Final demura Measurement Step(s): 22
13:30:45.361	This Sequence will require 15 camera exposures.
13:30:45.364	This Sequence will require 15 show patterns.
13:30:45.366	This Sequence will require 22 analyses.
13:30:46.225	Show Pattern entered #1, for sequence step #: 1
13:30:46.329	Sent : CHGPTN 200
13:30:46.332	Sent Doone: ChangePattern 200
13:30:47.499	Message Size: 12; Checksum: 12; Payload length: 1, Payload: ACK
13:30:47.503	Received ACK from Doone.
13:30:47.519	Waited for the PG Ready:	1182ms
13:30:47.521	Delay: 100 (ms)
13:30:47.625	Show Pattern sent #1, for sequence step #: 1
13:30:47.831	Show Pattern entered #2, for sequence step #: 2
13:30:47.831	Exposure Complete (1), Sequence Index: 1, Channel: 1. Exposure truly complete: 2023/03/05 13:30:47.831
13:30:47.935	Sent : CHGPTN 201
13:30:47.941	Sent Doone: ChangePattern 201
13:30:49.117	Message Size: 12; Checksum: 12; Payload length: 1, Payload: ACK
13:30:49.121	Received ACK from Doone.
13:30:49.128	Waited for the PG Ready:	1183ms
13:30:49.131	Delay: 100 (ms)
13:30:49.234	Show Pattern sent #2, for sequence step #: 2
13:30:49.457	Show Pattern entered #3, for sequence step #: 3
13:30:49.457	Exposure Complete (2), Sequence Index: 2, Channel: 1. Exposure truly complete: 2023/03/05 13:30:49.457
13:30:49.562	Sent : CHGPTN 202
13:30:49.566	Sent Doone: ChangePattern 202
13:30:50.681	Message Size: 12; Checksum: 12; Payload length: 1, Payload: ACK
13:30:50.685	Received ACK from Doone.
13:30:50.703	Waited for the PG Ready:	1131ms
13:30:50.706	Delay: 100 (ms)
13:30:50.810	Show Pattern sent #3, for sequence step #: 3
13:30:51.044	Show Pattern entered #4, for sequence step #: 6
13:30:51.151	Sent : CHGPTN 205
13:30:51.158	Sent Doone: ChangePattern 205
13:30:51.265	Exposure Complete (3), Sequence Index: 3, Channel: 1. Exposure truly complete: 2023/03/05 13:30:51.044
13:30:51.446	Enter Analysis Complete (1), Sequence Index: 2, Channel: 1
13:30:51.450	Exit Analysis Complete (1), Sequence Index: 2, Channel: 1
13:30:52.324	Message Size: 12; Checksum: 12; Payload length: 1, Payload: ACK
13:30:52.328	Received ACK from Doone.
13:30:52.340	Waited for the PG Ready:	1176ms
13:30:52.343	Delay: 100 (ms)
13:30:52.448	Show Pattern sent #4, for sequence step #: 6
13:30:53.288	Enter Analysis Complete (2), Sequence Index: 3, Channel: 1
13:30:53.292	Exit Analysis Complete (2), Sequence Index: 3, Channel: 1
13:30:54.835	Enter Analysis Complete (3), Sequence Index: 1, Channel: 1
13:30:54.839	Exit Analysis Complete (3), Sequence Index: 1, Channel: 1
13:30:55.957	Exposure Complete (4), Sequence Index: 6, Channel: 1. Exposure truly complete: 2023/03/05 13:30:55.957
13:30:55.957	Show Pattern entered #5, for sequence step #: 7
13:30:56.066	Sent : CHGPTN 206
13:30:56.069	Sent Doone: ChangePattern 206
13:30:57.188	Message Size: 12; Checksum: 12; Payload length: 1, Payload: ACK
13:30:57.192	Received ACK from Doone.
13:30:57.204	Waited for the PG Ready:	1131ms
13:30:57.207	Delay: 100 (ms)
13:30:57.311	Show Pattern sent #5, for sequence step #: 7
13:30:59.822	Enter Analysis Complete (4), Sequence Index: 6, Channel: 1
